date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:49	47122/47122	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:49%20GMT	https://www.menada-winery.com/en/about	/home/acrtech/websites/wine/www.menada-winery.com/en/about.html	(from https://www.menada-winery.com/en)
10:02:50	4527/4527	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/menu/history-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/history-bg.jpg	(from https://www.menada-winery.com/en)
10:02:51	48371/48371	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:51%20GMT	https://www.menada-winery.com/en/history	/home/acrtech/websites/wine/www.menada-winery.com/en/history.html	(from https://www.menada-winery.com/en)
10:02:52	12503/12503	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/region.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/region.jpg	(from https://www.menada-winery.com/en)
10:02:53	50103/50103	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:53%20GMT	https://www.menada-winery.com/en/region	/home/acrtech/websites/wine/www.menada-winery.com/en/region.html	(from https://www.menada-winery.com/en)
10:02:54	57752/57752	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:54%20GMT	https://www.menada-winery.com/en/products	/home/acrtech/websites/wine/www.menada-winery.com/en/products.html	(from https://www.menada-winery.com/en)
10:02:55	2874/2874	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/tcherga-logo.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/tcherga-logo.svg	(from https://www.menada-winery.com/en)
10:02:56	61897/61897	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:40%20GMT	https://www.menada-winery.com/images/menu/tcherga-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/tcherga-bottles.png	(from https://www.menada-winery.com/en)
10:02:57	59840/59840	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:02:57%20GMT	https://www.menada-winery.com/en/products/tcherga	/home/acrtech/websites/wine/www.menada-winery.com/en/products/tcherga.html	(from https://www.menada-winery.com/en)
10:02:58	5709/5709	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/menada.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/menada.svg	(from https://www.menada-winery.com/en)
10:02:59	66758/66758	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2010:44:51%20GMT	https://www.menada-winery.com/images/menu/menada-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/menada-bottles.png	(from https://www.menada-winery.com/en)
10:03:00	65300/65300	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:00%20GMT	https://www.menada-winery.com/en/products/menada	/home/acrtech/websites/wine/www.menada-winery.com/en/products/menada.html	(from https://www.menada-winery.com/en)
10:03:01	21169/21169	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/menu/gin-logo.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/gin-logo.png	(from https://www.menada-winery.com/en)
10:03:02	41007/41007	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/menu/gin-2.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/gin-2.png	(from https://www.menada-winery.com/en)
10:03:03	41394/41394	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:03%20GMT	https://www.menada-winery.com/en/products/albions-gin	/home/acrtech/websites/wine/www.menada-winery.com/en/products/albions-gin.html	(from https://www.menada-winery.com/en)
10:03:04	10900/10900	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/zarska-logo.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/zarska-logo.png	(from https://www.menada-winery.com/en)
10:03:05	13171/13171	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/menu/zarska-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/zarska-bottles.png	(from https://www.menada-winery.com/en)
10:03:06	40355/40355	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:06%20GMT	https://www.menada-winery.com/en/products/zaarska	/home/acrtech/websites/wine/www.menada-winery.com/en/products/zaarska.html	(from https://www.menada-winery.com/en)
10:03:07	2190/2190	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:40%20GMT	https://www.menada-winery.com/images/menu/tcherga-muscat-logo.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/tcherga-muscat-logo.png	(from https://www.menada-winery.com/en)
10:03:08	47126/47126	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/dqdova-logo.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/dqdova-logo.svg	(from https://www.menada-winery.com/en)
10:03:09	46631/46631	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Sep%202025%2007:49:32%20GMT	https://www.menada-winery.com/images/menu/rakia-multiple-bottles.png	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/rakia-multiple-bottles.png	(from https://www.menada-winery.com/en)
10:03:10	42636/42636	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:10%20GMT	https://www.menada-winery.com/en/products/tcherga-rakiq	/home/acrtech/websites/wine/www.menada-winery.com/en/products/tcherga-rakiq.html	(from https://www.menada-winery.com/en)
10:03:11	14881/14881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/products-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/products-bg.jpg	(from https://www.menada-winery.com/en)
10:03:12	48963/48963	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:12%20GMT	https://www.menada-winery.com/en/products/other	/home/acrtech/websites/wine/www.menada-winery.com/en/products/other.html	(from https://www.menada-winery.com/en)
10:03:13	10985/10985	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:46%20GMT	https://www.menada-winery.com/images/menu/life-style-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/life-style-bg.jpg	(from https://www.menada-winery.com/en)
10:03:14	59518/59518	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:14%20GMT	https://www.menada-winery.com/en/lifestyle	/home/acrtech/websites/wine/www.menada-winery.com/en/lifestyle.html	(from https://www.menada-winery.com/en)
10:03:15	13163/13163	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/recipes-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/recipes-bg.jpg	(from https://www.menada-winery.com/en)
10:03:16	41526/41526	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:16%20GMT	https://www.menada-winery.com/en/recipes	/home/acrtech/websites/wine/www.menada-winery.com/en/recipes.html	(from https://www.menada-winery.com/en)
10:03:17	2388/2388	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/footer-phone.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/footer-phone.svg	(from https://www.menada-winery.com/en)
10:03:18	46013/46013	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2010:03:18%20GMT	https://www.menada-winery.com/en/contacts	/home/acrtech/websites/wine/www.menada-winery.com/en/contacts.html	(from https://www.menada-winery.com/en)
10:03:19	656/656	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2006%20Mar%202018%2012:23:47%20GMT	https://www.menada-winery.com/images/menu/facebook.svg	/home/acrtech/websites/wine/www.menada-winery.com/images/menu/facebook.svg	(from https://www.menada-winery.com/en)
10:03:20	17546/17546	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/images/homepage/right-leaf.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/right-leaf.jpg	(from https://www.menada-winery.com/en)
10:03:21	43718/43718	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/video/lista-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/video/lista-bg.jpg	(from https://www.menada-winery.com/en)
10:03:23	893345/893345	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/white-grape.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/white-grape.png	(from https://www.menada-winery.com/en)
10:03:24	58696/58696	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:08:36%20GMT	https://www.menada-winery.com/images/homepage/homepage-hero-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/homepage-hero-bg.jpg	(from https://www.menada-winery.com/en)
10:03:24	30660/30660	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2015:36:17%20GMT	https://www.menada-winery.com/images/posters/preview14d.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/posters/preview14d.jpg	(from https://www.menada-winery.com/en)
10:03:25	28953/28953	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-s.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-s.png	(from https://www.menada-winery.com/en)
10:03:26	28188/28188	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-t.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-t.png	(from https://www.menada-winery.com/en)
10:03:27	28346/28346	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-c.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-c.png	(from https://www.menada-winery.com/en)
10:03:28	28841/28841	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-m.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-m.png	(from https://www.menada-winery.com/en)
10:03:29	27912/27912	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-r.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-r.png	(from https://www.menada-winery.com/en)
10:03:30	24956/24956	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-c-red.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-c-red.png	(from https://www.menada-winery.com/en)
10:03:31	25072/25072	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-m-red.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-m-red.png	(from https://www.menada-winery.com/en)
10:03:32	25263/25263	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202019%2007:46:39%20GMT	https://www.menada-winery.com/images/homepage/menada-bottle-m-violet.png	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/menada-bottle-m-violet.png	(from https://www.menada-winery.com/en)
10:03:33	64199/64199	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jun%202018%2012:12:57%20GMT	https://www.menada-winery.com/images/homepage/home-intro-video-bg-white-grape.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/home-intro-video-bg-white-grape.jpg	(from https://www.menada-winery.com/en)
10:03:34	54704/54704	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2012:23:44%20GMT	https://www.menada-winery.com/images/homepage/video-player-bg.jpg	/home/acrtech/websites/wine/www.menada-winery.com/images/homepage/video-player-bg.jpg	(from https://www.menada-winery.com/en)
